               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082251,            0.051814,            0.034408,          7.7466e-05,            0.022773,          4.2397e-05,          1.1107e-05,            0.065979,            0.028908,             0.02981,           0.0032432,           0.0032432,            0.070811
                   1,            0.060914,              0.0213,            0.027967,            0.079335,              0.3114,             0.10694,            0.023736,             0.06775,            0.013563,            0.026266,            0.006544,            0.006544,            0.040778
                   2,            0.058762,            0.014307,            0.024741,             0.59176,             0.21306,             0.10099,            0.025342,            0.057158,              0.0146,             0.02417,           0.0098118,           0.0098118,            0.010713
                   3,            0.052224,            0.013354,            0.022613,             0.29307,             0.66363,             0.45271,             0.14222,            0.048188,            0.011956,            0.020102,           0.0098515,           0.0098515,           0.0098515
                   4,            0.045014,            0.011061,            0.019347,               0.651,             0.50067,             0.47805,             0.12843,            0.048337,            0.015006,            0.016946,           0.0098515,           0.0098515,           0.0098515
                   5,             0.04519,           0.0098219,            0.017334,             0.63298,             0.59713,             0.55424,             0.24029,            0.048951,            0.010538,            0.016321,            0.009802,            0.009802,            0.009802
                   6,            0.035127,           0.0096715,            0.015567,             0.42281,             0.71255,              0.5341,             0.18128,            0.037166,            0.009786,            0.013966,           0.0097525,           0.0097525,           0.0097525
                   7,            0.036966,           0.0088153,            0.014321,             0.49107,             0.80026,             0.61283,             0.19483,            0.032559,           0.0086606,            0.014101,            0.009703,            0.009703,            0.009703
                   8,            0.030748,            0.008005,             0.01435,             0.46904,              0.9413,             0.62712,             0.24723,            0.028303,           0.0081831,            0.012905,           0.0096535,           0.0096535,           0.0096535
                   9,            0.032998,           0.0072313,             0.01293,             0.63546,             0.90182,             0.78859,             0.52032,            0.029468,           0.0074238,            0.012675,            0.009604,            0.009604,            0.009604
